MSMEG_0005;Rv0005;;;;;Rv0005;1.000
MSMEG_0006;Rv0006;;;;;Rv0006;1.000
MSMEG_0007;Rv0007;;;;;Rv0007;1.000
MSMEG_0023;Rv0008c;;;;;Rv0008c;1.000
;Rv0029;;;;;Rv0029;1.000
MSMEG_6923;Rv0036c;;;;;Rv0036c;1.000
MSMEG_6917;Rv0041;;;;;Rv0041;1.000
MSMEG_6913;Rv0042c;;;;;Rv0042c;1.000
MSMEG_6907;Rv0044c;;;MSMEG_6907;1;Rv0044c;1.000
MSMEG_6904;Rv0046c;MSMEG_6904;2;MSMEG_6904;1;Rv0046c;2.000
MSMEG_6897;Rv0053;MSMEG_6897;2;MSMEG_6897;1;Rv0053;1.000
MSMEG_6896;Rv0054;;;MSMEG_6896;1;Rv0054;1.000
MSMEG_6895;Rv0055;;;;;Rv0055;1.000
;Rv0059;;;;;Rv0059;1.000
MSMEG_1654;Rv0066c;MSMEG_1654;1;MSMEG_1654;1;Rv0066c;1.000
MSMEG_0876;Rv0068;;;;;Rv0068;1.000
;Rv0070c;;;;;Rv0070c;1.000
;Rv0073;;;;;Rv0073;2.000
MSMEG_6763;Rv0077c;;;;;Rv0077c;1.000
MSMEG_3935;Rv0079;;;;;Rv0079;1.000
;Rv0087;;;;;Rv0087;1.000
;Rv0107c;;;;;Rv0107c;1.000
MSMEG_6515;Rv0126;;;;;Rv0126;1.000
MSMEG_6514;Rv0127;;;;;Rv0127;1.000
;Rv0131c;;;;;Rv0131c;1.000
;Rv0134;;;;;Rv0134;1.000
MSMEG_0092;Rv0144;;;;;Rv0144;1.000
;Rv0146;;;;;Rv0146;1.000
;Rv0147;;;;;Rv0147;1.000
;Rv0148;;;;;Rv0148;2.000
;Rv0154c;;;;;Rv0154c;1.000
MSMEG_0120;Rv0158;;;;;Rv0158;1.000
MSMEG_5045;Rv0161;;;;;Rv0161;1.000
;Rv0178;;;;;Rv0178;1.000
MSMEG_0220;Rv0183;;;MSMEG_0220;1;Rv0183;1.000
MSMEG_0223;Rv0185;;;;;Rv0185;1.000
MSMEG_0224;Rv0187;;;MSMEG_0224;1;Rv0187;1.000
MSMEG_0229;Rv0189c;MSMEG_0229;1;;;Rv0189c;1.000
MSMEG_0255;Rv0211;MSMEG_0255;2;;;Rv0211;1.000
MSMEG_0261;Rv0216;;;;;Rv0216;1.000
MSMEG_0290;Rv0221;;;;;Rv0221;1.000
MSMEG_0320;Rv0230c;;;;;Rv0230c;1.000
;Rv0231;;;;;Rv0231;1.000
MSMEG_0372;Rv0242c;MSMEG_0372;-1;MSMEG_0372;1;Rv0242c;2.000
MSMEG_0373;Rv0243;MSMEG_0373;1;MSMEG_0373;1;Rv0243;1.000
MSMEG_0406;Rv0244c;MSMEG_0406;0;;;Rv0244c;1.000
MSMEG_0417;Rv0247c;;;;;Rv0247c;1.000
MSMEG_0418;Rv0248c;;;;;Rv0248c;1.000
MSMEG_0434;Rv0262c;;;;;Rv0262c;1.000
MSMEG_0599;Rv0270;;;;;Rv0270;1.000
MSMEG_0603;Rv0271c;;;;;Rv0271c;1.000
MSMEG_0615;Rv0282;;;;;Rv0282;1.000
;Rv0296c;;;;;Rv0296c;1.000
MSMEG_0632;Rv0307c;;;;;Rv0307c;1.000
MSMEG_0645;Rv0315;;;;;Rv0315;1.000
MSMEG_0384;Rv0334;;;;;Rv0334;1.000
